company,ticker,year,revenue_MEUR,csrd_2025,csrd_2027,segment,industry,hq_country,years_esg_data,base_year,external_audit_of_ESG_report,ceo_sust_statem,environmental_policy_and_assessment,environmental_performance_targets,reduced_environmental_impact,increased_renewable_energy,disclosure_of_raw_material_use,resource_efficiency_target,disclosure_of_water_discharges,supplier_guidelines,disclosure_of_suppliers_audited,disclosure_of_supplier_evaluation_procedures,supplier_environmental_assessment,energy_consump_bool,water_withdraw_bool,ghg_emis_bool,transport_emis_bool
Rockwool International A/S,ROCK,2021,3088.0,1,0,Large,Industrial Goods and Services,Denmark,4,2019,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1
Rockwool International A/S,ROCK,2022,3907.0,1,0,Large,Industrial Goods and Services,Denmark,4,2019,1,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1
Rockwool International A/S,ROCK,2019,2757.0,1,0,Large,Industrial Goods and Services,Denmark,4,2019,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0
Rockwool International A/S,ROCK,2020,2602.0,1,0,Large,Industrial Goods and Services,Denmark,4,2019,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0
FLSmidth & Co. A/S,FLS,2019,2763.855422,1,0,Large,Industrial Goods and Services,Denmark,4,2019,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1
FLSmidth & Co. A/S,FLS,2020,2200.937082,1,0,Large,Industrial Goods and Services,Denmark,4,2019,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,0
FLSmidth & Co. A/S,FLS,2021,2353.547523,1,0,Large,Industrial Goods and Services,Denmark,4,2019,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1
FLSmidth & Co. A/S,FLS,2022,2936.865576,1,0,Large,Industrial Goods and Services,Denmark,4,2019,0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1
A.P. Møller -Maersk A/S,MAERSK,2020,35482.14286,1,0,Large,Industrial Goods and Services,Denmark,4,2019,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1
A.P. Møller -Maersk A/S,MAERSK,2021,55166.96429,1,0,Large,Industrial Goods and Services,Denmark,4,2019,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
A.P. Møller -Maersk A/S,MAERSK,2022,77425.45109,1,0,Large,Industrial Goods and Services,Denmark,4,2019,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
A.P. Møller -Maersk A/S,MAERSK,2019,34723.21429,1,0,Large,Industrial Goods and Services,Denmark,4,2019,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0
Schouw & Co. A/S,SCHO,2019,2804.729,1,0,Large,Industrial Goods and Services,Denmark,4,2019,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0
Schouw & Co. A/S,SCHO,2020,2847.791165,1,0,Large,Industrial Goods and Services,Denmark,4,2019,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0
Schouw & Co. A/S,SCHO,2021,3242.168675,1,0,Large,Industrial Goods and Services,Denmark,4,2019,0,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0
Schouw & Co. A/S,SCHO,2022,4386.950515,1,0,Large,Industrial Goods and Services,Denmark,4,2019,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0
MT Højgaard A/S (formerly known as Højga,MTHH,2021,964.2570281,1,0,Mid,Industrial Goods and Services,Denmark,3,2020,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0
MT Højgaard A/S (formerly known as Højga,MTHH,2022,1163.293947,1,0,Mid,Industrial Goods and Services,Denmark,3,2020,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1
MT Højgaard A/S (formerly known as Højga,MTHH,2020,796.6532798,1,0,Mid,Industrial Goods and Services,Denmark,3,2020,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0
Brødrene Hartmann A/S,HART,2019,315.4484605,1,0,Mid,Industrial Goods and Services,Denmark,4,2019,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0
Brødrene Hartmann A/S,HART,2020,343.6947791,1,0,Mid,Industrial Goods and Services,Denmark,4,2019,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
Brødrene Hartmann A/S,HART,2021,367.3360107,1,0,Mid,Industrial Goods and Services,Denmark,4,2019,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1
Brødrene Hartmann A/S,HART,2022,450.2951934,1,0,Mid,Industrial Goods and Services,Denmark,4,2019,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1
RTX A/S,RTX,2019,75.00669344,0,1,Mid,Other,Denmark,4,2019,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0
RTX A/S,RTX,2020,74.41767068,0,1,Mid,Other,Denmark,4,2019,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
RTX A/S,RTX,2021,61.19906292,0,1,Mid,Other,Denmark,4,2019,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0
RTX A/S,RTX,2022,89.15844829,0,1,Mid,Other,Denmark,4,2019,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0
Columbus A/S,COLUM,2019,258.5922356,1,0,Mid,Technology,Denmark,4,2019,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Columbus A/S,COLUM,2020,221.5171352,1,0,Mid,Technology,Denmark,4,2019,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0
Columbus A/S,COLUM,2021,198.3692102,1,0,Mid,Technology,Denmark,4,2019,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Columbus A/S,COLUM,2022,204.7746291,1,0,Mid,Technology,Denmark,4,2019,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1
Vestas Wind Systems A/S,VWS,2019,12147.0,1,0,Large,Energy and Utilities,Denmark,4,2019,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0
Genmab A/S,GMAB,2019,510.9502952,0,1,Large,Health Care,Denmark,4,2019,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0
Genmab A/S,GMAB,2020,1353.547523,0,1,Large,Health Care,Denmark,4,2019,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0
Genmab A/S,GMAB,2021,1135.475234,1,0,Large,Health Care,Denmark,4,2019,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0
Genmab A/S,GMAB,2022,1961.808462,1,0,Large,Health Care,Denmark,4,2019,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0
GN Store Nord A/S,GN,2019,1683.266399,1,0,Large,Health Care,Denmark,4,2019,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0
GN Store Nord A/S,GN,2020,1800.401606,1,0,Large,Health Care,Denmark,4,2019,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0
GN Store Nord A/S,GN,2021,2111.780455,1,0,Large,Health Care,Denmark,4,2019,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,1
GN Store Nord A/S,GN,2022,2511.84068,1,0,Large,Health Care,Denmark,4,2019,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1
Danske Bank A/S,DANSKE,2019,6023.21,1,0,Large,Finance,Denmark,4,2019,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1
Danske Bank A/S,DANSKE,2020,5695.41,1,0,Large,Finance,Denmark,4,2019,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1
