company,ticker,year,revenue_MEUR,csrd_2025,csrd_2027,segment,industry,hq_country,years_esg_data,base_year,external_audit_of_ESG_report,ceo_sust_statem,environmental_policy_and_assessment,environmental_performance_targets,reduced_environmental_impact,increased_renewable_energy,disclosure_of_raw_material_use,resource_efficiency_target,disclosure_of_water_discharges,supplier_guidelines,disclosure_of_suppliers_audited,disclosure_of_supplier_evaluation_procedures,supplier_environmental_assessment,energy_consump_bool,water_withdraw_bool,ghg_emis_bool,transport_emis_bool
Metso Outotec Oyj,METSO,2020,3319.0,1,0,Large,Industrial Goods and Services,Finland,4,2019,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1
SRV Group plc,SRV,2019,1060.0,1,0,Mid,Industrial Goods and Services,Finland,2,2019,0,0,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0
SRV Group plc,SRV,2020,975.534,0,1,Mid,Industrial Goods and Services,Finland,2,2019,0,0,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0
Afarak Group Plc,AFAGR,2019,144.9,0,1,Mid,Basic Materials,Finland,2,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afarak Group Plc,AFAGR,2020,59.805,0,1,Mid,Basic Materials,Finland,2,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raisio Oyj Vaihto-osake,RAIVV,2020,233.6,0,1,Mid,Consumer Goods and Services,Finland,4,2019,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1
YIT Oyj,YIT,2019,3391.5,1,0,Large,Industrial Goods and Services,Finland,3,2019,0,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,0
YIT Oyj,YIT,2020,3069.0,1,0,Large,Industrial Goods and Services,Finland,3,2019,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1
YIT Oyj,YIT,2021,2856.0,1,0,Large,Industrial Goods and Services,Finland,3,2019,0,1,1,1,1,1,0,0,0,1,1,0,0,1,0,1,1
F-Secure Corporation,FSECURE,2019,217.0,1,0,Mid,Technology,Finland,4,2019,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
F-Secure Corporation,FSECURE,2020,220.2,1,0,Mid,Technology,Finland,4,2019,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0
F-Secure Corporation,FSECURE,2021,106.3,1,0,Mid,Technology,Finland,4,2019,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
Olvi Oyj,OLVAS,2019,408.7,1,0,Large,Consumer Goods and Services,Finland,4,2019,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0
Olvi Oyj,OLVAS,2020,414.9,1,0,Large,Consumer Goods and Services,Finland,4,2019,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0
Olvi Oyj,OLVAS,2021,462.2,1,0,Large,Consumer Goods and Services,Finland,4,2019,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0
Olvi Oyj,OLVAS,2022,583.7,1,0,Large,Consumer Goods and Services,Finland,4,2019,0,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1
Vaisala Oyj,VAIAS,2019,403.6,1,0,Large,Industrial Goods and Services,Finland,4,2019,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1
Vaisala Oyj,VAIAS,2020,379.5,1,0,Large,Industrial Goods and Services,Finland,4,2019,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
Vaisala Oyj,VAIAS,2021,437.9,1,0,Large,Industrial Goods and Services,Finland,4,2019,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1
Vaisala Oyj,VAIAS,2022,514.2,1,0,Large,Industrial Goods and Services,Finland,4,2019,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1
Sampo Oyj,SAMAS,2021,10580.0,0,1,Large,Finance,Finland,2,2021,0,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1
Sampo Oyj,SAMAS,2022,8984.0,0,1,Large,Finance,Finland,2,2021,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
Tikkurila Oyj,TIK,2019,563.831,1,0,Mid,Industrial Goods and Services,Finland,2,2019,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0
Tikkurila Oyj,TIK,2020,581.974,1,0,Mid,Industrial Goods and Services,Finland,2,2019,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Scanfil Oyj,SCANFL,2019,579.416,1,0,Mid,Industrial Goods and Services,Finland,4,2019,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0
Scanfil Oyj,SCANFL,2020,595.347,1,0,Mid,Industrial Goods and Services,Finland,4,2019,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0
Scanfil Oyj,SCANFL,2021,695.735,1,0,Mid,Industrial Goods and Services,Finland,4,2019,0,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0
Scanfil Oyj,SCANFL,2022,843.756,1,0,Mid,Industrial Goods and Services,Finland,4,2019,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0
Ahlstrom-Munksjö Oyj,AM1,2019,2916.3,1,0,Large,Basic Materials,Finland,2,2019,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0
Ahlstrom-Munksjö Oyj,AM1,2020,2683.3,1,0,Large,Basic Materials,Finland,2,2019,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,1
Aktia Bank PLC (formerly known as Aktia,AKTIA,2019,221.4,0,1,Mid,Finance,Finland,4,2019,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
Aktia Bank PLC (formerly known as Aktia,AKTIA,2021,263.784,0,1,Mid,Finance,Finland,4,2019,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1
Aktia Bank PLC (formerly known as Aktia,AKTIA,2022,254.1,0,1,Mid,Finance,Finland,4,2019,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
Aktia Bank PLC (formerly known as Aktia,AKTIA,2020,201.117,0,1,Mid,Finance,Finland,4,2019,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1
Taaleri plc,TAALA,2019,67.2,0,1,Mid,Finance,Finland,4,2019,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taaleri plc,TAALA,2020,69.0,0,1,Mid,Finance,Finland,4,2019,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Taaleri plc,TAALA,2021,72.629,0,1,Mid,Finance,Finland,4,2019,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Taaleri plc,TAALA,2022,61.03,0,1,Mid,Finance,Finland,4,2019,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
DNA Oyj,DNA,2020,934.5,1,0,Large,Other,Finland,2,2019,0,1,1,1,1,1,0,0,0,1,1,0,0,1,0,1,1
DNA Oyj,DNA,2019,942.1,1,0,Large,Other,Finland,2,2019,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1
Caverion Oyj,CAV1V,2019,2123.3,1,0,Mid,Industrial Goods and Services,Finland,4,2019,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0
Caverion Oyj,CAV1V,2020,2154.9,1,0,Mid,Industrial Goods and Services,Finland,4,2019,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,1
Caverion Oyj,CAV1V,2021,2139.5,1,0,Mid,Industrial Goods and Services,Finland,4,2019,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1
Caverion Oyj,CAV1V,2022,2352.1,1,0,Mid,Industrial Goods and Services,Finland,4,2019,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1
Valmet Corporation,VALMT,2019,3547.0,1,0,Large,Industrial Goods and Services,Finland,3,2019,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
Valmet Corporation,VALMT,2020,3740.0,1,0,Large,Industrial Goods and Services,Finland,3,2019,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1
Valmet Corporation,VALMT,2021,3935.0,1,0,Large,Industrial Goods and Services,Finland,3,2019,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1
Lehto Group Oyj,LEHTO,2019,668.0,1,0,Mid,Industrial Goods and Services,Finland,2,2019,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Lehto Group Oyj,LEHTO,2020,544.7,1,0,Mid,Industrial Goods and Services,Finland,2,2019,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Pihlajalinna Oyj,PIHLIS,2019,518.6,1,0,Mid,Health Care,Finland,4,2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Pihlajalinna Oyj,PIHLIS,2020,508.7,1,0,Mid,Health Care,Finland,4,2019,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Pihlajalinna Oyj,PIHLIS,2021,577.774,1,0,Mid,Health Care,Finland,4,2019,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Pihlajalinna Oyj,PIHLIS,2022,690.5,1,0,Mid,Health Care,Finland,4,2019,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0
Enento Group Plc,ENENTO,2019,146.0,0,1,Mid,Industrial Goods and Services,Finland,2,2019,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Enento Group Plc,ENENTO,2020,151.3,0,1,Mid,Industrial Goods and Services,Finland,2,2019,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
Hoivatilat Oyj  (Suomen Hoivatilat Oyj),HOIVA,2019,23.273181,0,1,Mid,Finance,Finland,1,2019,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Robit Oyj,ROBIT,2020,91.631,0,1,Mid,Industrial Goods and Services,Finland,1,2020,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0
Evli Plc (formerly: Evli Bank Plc),EVLI,2019,81.0,0,1,Mid,Finance,Finland,4,2019,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0
Evli Plc (formerly: Evli Bank Plc),EVLI,2020,80.0,0,1,Mid,Finance,Finland,4,2019,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0
Fellow Bank (formerly: Evli Bank Plc.),FELLOW,2022,10.239,0,1,Mid,Finance,Finland,1,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tokmanni Group Oyj,TOKMAN,2019,944.276,1,0,Large,Consumer Goods and Services,Finland,3,2019,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1
Tokmanni Group Oyj,TOKMAN,2020,1073.153,1,0,Large,Consumer Goods and Services,Finland,3,2019,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1
Tokmanni Group Oyj,TOKMAN,2022,1168.017,1,0,Large,Consumer Goods and Services,Finland,3,2019,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1
Kamux Oyj,KAMUX,2019,658.5,0,1,Mid,Consumer Goods and Services,Finland,4,2019,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Kamux Oyj,KAMUX,2020,724.1,1,0,Mid,Consumer Goods and Services,Finland,4,2019,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0
Kamux Oyj,KAMUX,2021,937.4,0,1,Mid,Consumer Goods and Services,Finland,4,2019,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Kamux Oyj,KAMUX,2022,968.7,0,1,Mid,Consumer Goods and Services,Finland,4,2019,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0
Remedy Entertainment Oyj,REMEDY,2022,43.588,0,1,Mid,Consumer Goods and Services,Finland,1,2022,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
Terveystalo Oyj,TTALO,2020,986.4,1,0,Large,Health Care,Finland,4,2019,0,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,1
Terveystalo Oyj,TTALO,2019,1030.7,1,0,Large,Health Care,Finland,4,2019,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1
Terveystalo Oyj,TTALO,2021,1154.6,1,0,Large,Health Care,Finland,4,2019,0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1
Terveystalo Oyj,TTALO,2022,1259.1,1,0,Large,Health Care,Finland,4,2019,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1
Rovio Entertainment Oyj,ROVIO,2019,289.1,0,1,Mid,Consumer Goods and Services,Finland,3,2019,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1
Rovio Entertainment Oyj,ROVIO,2020,272.3,0,1,Mid,Consumer Goods and Services,Finland,3,2019,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Rovio Entertainment Oyj,ROVIO,2021,286.2,0,1,Mid,Consumer Goods and Services,Finland,3,2019,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1
Altia Oyj,ALTIA,2019,359.6,0,1,Mid,Consumer Goods and Services,Finland,1,2019,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0
Anora Group,ANORA,2020,342.4,0,1,Mid,Consumer Goods and Services,Finland,1,2020,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0
Nordea Bank Oyj,NDA,2019,12986.0,1,0,Large,Finance,Finland,4,2019,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1
Nordea Bank Oyj,NDA,2020,15073.0,1,0,Large,Finance,Finland,4,2019,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1
Nordea Bank Oyj,NDA,2021,9680.0,1,0,Large,Finance,Finland,4,2019,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1
Nordea Bank Oyj,NDA,2022,9796.0,1,0,Large,Finance,Finland,4,2019,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
Oma Savings Bank Oyj,OMASP,2019,92.573,0,1,Mid,Finance,Finland,4,2019,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Oma Savings Bank Oyj,OMASP,2020,111.073,0,1,Mid,Finance,Finland,4,2019,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
Oma Savings Bank Oyj,OMASP,2021,156.565,0,1,Mid,Finance,Finland,4,2019,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
Oma Savings Bank Oyj,OMASP,2022,144.392,0,1,Mid,Finance,Finland,4,2019,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1
Harvia Plc,HARVIA,2021,179.123,0,1,Large,Consumer Goods and Services,Finland,1,2021,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0
Kojamo Oyj,KOJAMO,2019,375.3,0,1,Large,Finance,Finland,4,2019,0,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0
Kojamo Oyj,KOJAMO,2020,383.9,0,1,Large,Finance,Finland,4,2019,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1
Kojamo Oyj,KOJAMO,2021,319.7,0,1,Large,Finance,Finland,4,2019,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1
Kojamo Oyj,KOJAMO,2022,413.3,0,1,Large,Finance,Finland,4,2019,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1
Nanoform Finland PLC,NANOFS,2021,1.954547,0,1,Large,Health Care,Finland,2,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nanoform Finland PLC,NANOFS,2022,3.487376,0,1,Large,Health Care,Finland,2,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tallink Grupp, AS",TALLINK,2022,771.387,1,0,Large,Consumer Goods and Services,Estonia,4,2019,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"Tallink Grupp, AS",TALLINK,2019,912.4,1,0,Large,Consumer Goods and Services,Estonia,4,2019,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0
"Tallink Grupp, AS",TALLINK,2021,476.937,1,0,Large,Consumer Goods and Services,Estonia,4,2019,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Citycon Oyj,CTY1S,2019,217.4,0,1,Large,Finance,Finland,4,2019,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1
Citycon Oyj,CTY1S,2020,295.5,0,1,Large,Finance,Finland,4,2019,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1
Citycon Oyj,CTY1S,2021,202.3,0,1,Large,Finance,Finland,4,2019,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1
Citycon Oyj,CTY1S,2022,203.6,0,1,Large,Finance,Finland,4,2019,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1
Cramo Oyj,CRA1V,2019,612.6,1,0,Mid,Industrial Goods and Services,Sweden,1,2019,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0
Relais,RELAIS,2022,260.683,0,1,Mid,Consumer Goods and Services,Finland,1,2022,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0
Musti Group Plc,MUSTI,2021,340.856,1,0,Large,Consumer Goods and Services,Finland,2,2021,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0
Musti Group Plc,MUSTI,2022,391.1,1,0,Large,Consumer Goods and Services,Finland,2,2021,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0
Neles Corp.  (Metso Oyj),NELES,2019,3635.0,1,0,Large,Industrial Goods and Services,Finland,1,2019,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1
Purmo Group,PURMO,2022,904.1,1,0,Mid,Industrial Goods and Services,Finland,1,2022,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1
Evli Plc (formerly: Evli Bank Plc),EVLI,2021,120.5,0,1,Mid,Finance,Finland,4,2019,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Evli Plc (formerly: Evli Bank Plc),EVLI,2022,96.1,0,1,Mid,Finance,Finland,4,2019,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1
F-Secure Corporation,FSECURE,2022,111.0,0,1,Mid,Technology,Finland,4,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Koskisen,KOSKI,2022,317.7,0,1,Small,Basic Materials,Finland,1,2022,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
BankNordik P/F,BNORDIK,2019,37.34,0,1,Large,Finance,Faroe Islands,4,2019,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
BankNordik P/F,BNORDIK,2020,39.83,0,1,Large,Finance,Faroe Islands,4,2019,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0
BankNordik P/F,BNORDIK,2021,36.12,0,1,Large,Finance,Faroe Islands,4,2019,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0
BankNordik P/F,BNORDIK,2022,37.14,0,1,Large,Finance,Faroe Islands,4,2019,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
Bakkafrost P/F,BAKKA,2019,603.8965194,1,0,Large,Consumer Goods and Services,Faroe Islands,4,2019,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1
Bakkafrost P/F,BAKKA,2020,625.09,1,0,Large,Consumer Goods and Services,Faroe Islands,4,2019,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1
Bakkafrost P/F,BAKKA,2021,743.4871486,1,0,Large,Consumer Goods and Services,Faroe Islands,4,2019,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Bakkafrost P/F,BAKKA,2022,958.3850355,1,0,Large,Consumer Goods and Services,Faroe Islands,4,2019,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Onxeo SA,ONXEO,2020,1.776,0,0,Mid,Health Care,France,1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AstraZeneca PLC,AZN,2019,21785.71429,1,0,Large,Health Care,United Kingdom,4,2019,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0
AstraZeneca PLC,AZN,2020,23765.17857,1,0,Large,Health Care,United Kingdom,4,2019,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1
AstraZeneca PLC,AZN,2021,33408.03571,1,0,Large,Health Care,United Kingdom,4,2019,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1
AstraZeneca PLC,AZN,2022,42118.70845,1,0,Large,Health Care,United Kingdom,4,2019,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1
G4S plc,G4S,2019,9090.909091,1,0,Large,Industrial Goods and Services,United Kingdom,2,2019,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1
G4S plc,G4S,2020,8217.237308,1,0,Large,Industrial Goods and Services,United Kingdom,2,2019,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
EnQuest plc,ENQ,2019,1470.052679,0,1,Mid,Energy and Utilities,United Kingdom,4,2019,0,1,1,1,1,0,0,1,0,1,0,1,1,0,0,1,0
EnQuest plc,ENQ,2020,765.0625,0,1,Mid,Energy and Utilities,United Kingdom,4,2019,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,0
EnQuest plc,ENQ,2021,1130.191071,0,1,Mid,Energy and Utilities,United Kingdom,4,2019,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0
EnQuest plc,ENQ,2022,2173.671552,0,1,Mid,Energy and Utilities,United Kingdom,4,2019,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0
Noble,NOBLE,2022,176.9471988,0,1,Large,Energy and Utilities,United Kingdom,1,2022,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0
RAK Petroleum plc,RAKP,2020,549.0178571,0,0,Mid,Energy and Utilities,United Kingdom,4,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAK Petroleum plc,RAKP,2021,896.5178571,1,0,Mid,Energy and Utilities,United Kingdom,4,2019,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
RAK Petroleum plc,RAKP,2022,,0,0,Mid,Energy and Utilities,United Kingdom,4,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAK Petroleum plc,RAKP,2019,867.3988749,0,0,Mid,Energy and Utilities,United Kingdom,4,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TORM plc,TRMD,2019,618.4017857,0,1,Large,Industrial Goods and Services,United Kingdom,4,2019,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
TORM plc,TRMD,2020,667.2821429,0,1,Large,Industrial Goods and Services,United Kingdom,4,2019,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0
TORM plc,TRMD,2021,553.1535714,0,1,Large,Industrial Goods and Services,United Kingdom,4,2019,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0
TORM plc,TRMD,2022,1370.307125,0,1,Large,Industrial Goods and Services,United Kingdom,4,2019,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1
Össur hf,OSSR,2020,562.05625,1,0,Large,Health Care,Iceland,4,2019,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
Össur hf,OSSR,2021,641.66875,1,0,Large,Health Care,Iceland,4,2019,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1
Össur hf,OSSR,2022,682.7795032,1,0,Large,Health Care,Iceland,4,2019,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1
Össur hf,OSSR,2019,612.5,1,0,Large,Health Care,Iceland,4,2019,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1
HB Grandi hf,GRND,2020,242.438,0,1,Mid,Consumer Goods and Services,Iceland,1,2020,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1
Marel hf,MAREL,2020,1237.8,1,0,Large,Industrial Goods and Services,Iceland,2,2019,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1
Marel hf,MAREL,2019,1283.7,1,0,Large,Industrial Goods and Services,Iceland,2,2019,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0,1,1
VÍS - Vátryggingafélag Íslands hf,VIS,2019,193.011,0,1,Mid,Finance,Iceland,4,2019,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
VÍS - Vátryggingafélag Íslands hf,VIS,2020,200.0996825,0,1,Mid,Finance,Iceland,4,2019,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0
VÍS - Vátryggingafélag Íslands hf,VIS,2021,226.1125877,0,1,Mid,Finance,Iceland,4,2019,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0
VÍS - Vátryggingafélag Íslands hf,VIS,2022,174.2731794,0,1,Mid,Finance,Iceland,4,2019,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1
Icelandair Group hf,ICEAIR,2020,387.1348214,1,0,Mid,Consumer Goods and Services,Iceland,2,2019,0,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1
Icelandair Group hf,ICEAIR,2019,1343.299107,1,0,Mid,Consumer Goods and Services,Iceland,2,2019,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1
Eimskipafélag Íslands hf,EIM,2019,679.594,1,0,Mid,Industrial Goods and Services,Iceland,2,2019,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1
Eimskipafélag Íslands hf,EIM,2020,667.256,1,0,Mid,Industrial Goods and Services,Iceland,2,2019,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1
Hagar hf,HAGA,2022,1138.838672,1,0,Mid,Consumer Goods and Services,Iceland,2,2019,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1
Hagar hf,HAGA,2019,859.0402362,1,0,Mid,Consumer Goods and Services,Iceland,2,2019,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1
Reitir fasteignafélag hf,REITIR,2020,78.88519749,0,1,Mid,Finance,Iceland,2,2019,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1
Reitir fasteignafélag hf,REITIR,2019,86.5485419,0,1,Mid,Finance,Iceland,2,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1
N1 hf,FESTI,2020,649.0808416,1,0,Mid,Consumer Goods and Services,Iceland,1,2020,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
Eik fasteignafélag hf.,EIK,2019,63.90550018,0,1,Mid,Finance,Iceland,1,2019,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1
Reginn hf.,REGINN,2019,68.40900701,0,1,Mid,Other,Iceland,1,2019,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0
Síminn hf.,SIMINN,2019,208.9996309,0,0,Mid,Other,Iceland,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arion Banki hf.,ARION,2020,230.0332226,0,1,Large,Finance,Iceland,3,2019,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1
Ölgerðin hf.,OLGERD,2022,270.2264116,0,1,Mid,Consumer Goods and Services,Iceland,1,2022,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1
Nova Klubburinn,NOVA,2022,87.46940714,0,1,Mid,Other,Iceland,1,2022,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
Shelf Drilling Ltd,SHLFO,2020,522.4785714,1,0,Mid,Energy and Utilities,United Arab Emirates,1,2020,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,1
Siem Offshore Inc.,SIOFF,2019,260.6057906,1,0,Large,Energy and Utilities,Cayman Islands,3,2019,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
