comp_name,ticker,year,segment,industry,hq_country,ceo_sust_statem,sales,env_policy,ep_targets,env_impact_red,energy_consump,incr_renew_en,disclosure_raw,resource_target,water_withdraw,water_disclose,ghg_emis,transport_emis,years_es_report,audit_es_report,su_guidelines,su_aud_disclose,su_eva_disclose,su_env_assess,earn_per_share
Frontline Ltd,FRO,2018.0,Large,Energy,Bermuda,0,662.7375,0,0,0,,0,0,0,,0,,,0,0,0,0,0,0,-0.044642857
Frontline Ltd,FRO,2019.0,Large,Energy,Bermuda,1,854.7517857,1,1,1,20387685,0,0,1,,0,,,2,0,0,0,0,0,0.696428571
Frontline Ltd,FRO,2020.0,Large,Energy,Bermuda,1,1090.345536,1,1,1,24200992,0,0,1,,0,1849.8271,,3,0,1,0,0,0,1.866071429
Frontline Ltd,FRO,2021.0,Large,Energy,Bermuda,1,669.0901786,1,1,1,25701742,0,0,1,,,2081.481,0.066,4,0,1,0,0,0,-0.053571429
Frontline Ltd,FRO,2022.0,Large,Energy,Bermuda,,1365.794513,1,1,1,27547078,0,0,1,,0,2110.6335,0.0831,6,0,1,0,1,0,2.108164808
Golden Ocean Group Ltd,GOGL,2014.0,Large,Industrial Goods and Services,Norway,0,70.1,0,0,0,,0,0,1,,0,,,,0,0,0,0,0,0.22
Golden Ocean Group Ltd,GOGL,2016.0,Large,Industrial Goods and Services,Norway,0,245.5,1,0,1,,0,0,1,,0,,,9,0,0,0,0,0,-1.3
Golden Ocean Group Ltd,GOGL,2017.0,Large,Industrial Goods and Services,Norway,0,383.4,1,1,0,,0,0,0,,0,,,1,0,0,0,0,0,0
Golden Ocean Group Ltd,GOGL,2018.0,Large,Industrial Goods and Services,Norway,1,585.7767857,1,1,1,24996676,0,0,1,,0,,,1,0,1,0,0,0,0.526785714
Golden Ocean Group Ltd,GOGL,2019.0,Large,Industrial Goods and Services,Norway,1,628.6875,1,1,1,27589398,0,0,1,,0,1728.831,,2,0,0,0,0,0,0.232142857
Golden Ocean Group Ltd,GOGL,2020.0,Large,Industrial Goods and Services,Norway,1,585.7767857,1,1,1,24996676,0,0,1,,1,,,3,0,1,0,1,1,0.857142857
Golden Ocean Group Ltd,GOGL,2021.0,Large,Industrial Goods and Services,Norway,0,470.7303571,,,,,,,,,,,,3,,,,,,2.4375
Golden Ocean Group Ltd,GOGL,2022.0,Large,Industrial Goods and Services,Norway,,1057.364304,1,1,1,21483634,1,0,1,,0,1867.7604,0.0258,5,0,1,1,1,1,2.174638473
Höegh LNG Holdings,HLNG,2019.0,Mid,Energy,Bermuda,1,300.1223214,1,1,1,18338400,0,0,0,,0,1030.688,,7,0,1,0.777777778,0,1,-0.348214286
Höegh LNG Holdings,HLNG,2020.0,Mid,Energy,Bermuda,1,299.2285714,1,1,1,16516800,0,0,1,,0,930.5132,,0,0,1,1,0,1,-0.526785714
Höegh LNG Holdings,HLNG,2015.0,Mid,Energy,Bermuda,1,182.3,1,1,1,9612000,0,0,0,,0,532,,5,0,1,0,0,1,-0.49
Höegh LNG Holdings,HLNG,2016.0,Mid,Energy,Bermuda,0,203.8,1,0,0,8431200,0,0,0,,0,470.9,,,0,1,1,0,1,0
Höegh LNG Holdings,HLNG,2017.0,Mid,Energy,Bermuda,1,225.9,1,1,1,11646000,0,0,0,,0,639.7,,5,0,1,1,0,1,0.2
Jinhui Shipping,JIN,2021.0,Mid,Industrial Goods and Services,Bermuda,0,117.0258929,1,1,1,,0,0,0,49000,0,,,7,0,0,0,0,0,1.586607143
Northern Drilling Ltd,NODL,2020.0,Mid,Energy,Bermuda,0,0,0,0,0,,0,0,0,,0,,,0,0,0,0,0,0,-0.294642857
Odfjell Drilling Ltd,ODL,2018.0,Mid,Energy,Bermuda,1,848.2142857,0,0,0,,0,0,0,,0,1380,,0,0,0,0,0,0,-2.392857143
Odfjell Drilling Ltd,ODL,2020.0,Mid,Energy,Bermuda,1,830.3571429,1,1,1,3074000,0,0,1,,1,235,,0,0,1,0,0,1,0.508928571
Odfjell Drilling Ltd,ODL,2021.0,Mid,Energy,Bermuda,1,771.2973214,1,1,1,2635647,0,0,1,,0,193.124,192.464,1,0,1,1,1,1,0.248214286
Odfjell Drilling Ltd,ODL,2022.0,Mid,Energy,Bermuda,,616.3058381,1,1,1,2612987,0,0,1,,0,192.3321945,215.239,2,0,1,1,0,1,0.486207379
Odfjell Drilling Ltd,ODL,2016.0,Mid,Energy,Bermuda,0,625.7,1,1,0,,0,0,0,,0,,,,0,0,0,0,0,0.3
Odfjell Drilling Ltd,ODL,2017.0,Mid,Energy,Bermuda,1,551.8,1,0,0,,0,0,0,,0,,,5,0,1,0,1,1,0.2
Odfjell Drilling Ltd,ODL,2019.0,Mid,Energy,Bermuda,1,734.9955357,1,1,1,10875600,0,0,1,,0,,,2,0,1,0.09,1,1,125
Seadrill Ltd,SDRL,2014.0,Small,Energy,Bermuda,0,3621,0,0,0,,0,0,0,,0,,,,0,0,0,0,0,6.01
Seadrill Ltd,SDRL,2015.0,Small,Energy,Bermuda,0,3977.1,1,0,1,,0,0,0,,0,,,,0,0,0,0,0,-1.37
Seadrill Ltd,SDRL,2016.0,Small,Energy,Bermuda,0,3018.1,0,0,0,,0,0,0,,0,,,,0,0,0,0,0,0.3
Seadrill Ltd,SDRL,2019.0,Small,Energy,Bermuda,,1194.642857,1,0,1,,0,0,0,,0,,,6,0,0,0,0,0,-10.85077951
Seadrill Ltd,SDRL,2017.0,Small,Energy,Bermuda,,1748.49477,1,0,0,,0,0,0,,0,,,0,0,0,0,0,0,-4.932296072
Seadrill Ltd,SDRL,2018.0,Small,Energy,Bermuda,,1095.289294,1,0,0,,0,0,0,,0,,,0,0,0,0,0,0,-6.000926582
Seadrill Ltd,SDRL,2020.0,Small,Energy,Bermuda,0,945.5357143,1,0,1,,0,0,0,,0,,,9,0,0,0,0,0,-41.45535714
Seadrill Ltd,SDRL,2022.0,Small,Energy,Bermuda,,800.5328529,0,0,0,,0,0,0,,0,,,1,0,1,0,0,0,3.684540296
Stolt-Nielsen,SNI,2016.0,Large,Industrial Goods and Services,Bermuda,,1786.642273,1,1,1,,0,0,1,,0,,,2,0,1,0,0,0,1.948298803
Stolt-Nielsen,SNI,2021.0,Large,Industrial Goods and Services,Bermuda,1,1947.394643,1,1,1,208800,0,0,1,430,0,108884000,,7,0,1,0,0,Y ,1.3125
Stolt-Nielsen,SNI,2022.0,Large,Industrial Goods and Services,Bermuda,,2632.167214,0,1,1,,0,0,1,,0,1827857000,,3,0,0,0,0,0,50.80487263
Stolt-Nielsen,SNI,2014.0,Large,Industrial Goods and Services,Bermuda,0,1549.2,1,1,1,,0,0,1,,,,,13,0,1,0,1,1,0.96
Stolt-Nielsen,SNI,2015.0,Large,Industrial Goods and Services,Bermuda,0,1819.9,1,1,1,,0,0,1,,1,,,8,0,0,0,0,0,2.17
Stolt-Nielsen,SNI,2017.0,Large,Industrial Goods and Services,Bermuda,0,1664.2,1,0,1,,0,0,0,,0,,,7,0,0,0,0,0,0.7
