company,ticker,year,csrd_2025,csrd_2027,segment,industry,hq_country,base_year,external_audit_of_ESG_report,revenue_MEUR,energy_consump_GJ,water_withdraw_thm3,ghg_emis_kt,transport_emis_kt,ghg_emis_per_MEUR_revenue,water_withdraw_per_MEUR_revenue
Seadrill Ltd,SDRL,2022,1,0,Small,Energy and Utilities,Bermuda,2019,0,800.5328529,,,,,,
Stolt-Nielsen,SNI,2021,1,0,Large,Industrial Goods and Services,Bermuda,2019,0,1947.394643,208800.0,430.0,108884000.0,,55912.65252340534,0.2208078375616647
Stolt-Nielsen,SNI,2022,1,0,Large,Industrial Goods and Services,Bermuda,2019,0,2632.167214,,,1827857000.0,,694430.4261059001,
Stolt-Nielsen,SNI,2019,1,0,Large,Industrial Goods and Services,Bermuda,2019,0,1818.75,,,,,,
Stolt-Nielsen,SNI,2020,1,0,Large,Industrial Goods and Services,Bermuda,2019,0,1745.657143,,,,,,
UIE plc (formerly United International E,UIE,2022,1,0,Large,Consumer Goods and Services,Denmark,2019,0,544.4169041,26305.2,,,,,
UIE plc (formerly United International E,UIE,2019,1,0,Large,Consumer Goods and Services,Denmark,2019,0,253.2357143,,,,,,
Africa Oil Corp.,AOI,2019,0,0,Mid,Energy and Utilities,Canada,2019,0,,,,,,,
Africa Oil Corp.,AOI,2020,0,0,Mid,Energy and Utilities,Canada,2019,0,1826.785714,,,,,,
Africa Oil Corp.,AOI,2021,0,0,Mid,Energy and Utilities,Canada,2019,0,202.5705357,,63372912.0,127.0706,4973.2445,0.6272906351404787,312843.68075055646
International Petroleum Corp.,IPCO,2019,0,1,Mid,Energy and Utilities,Canada,2019,0,494.41875,,,,,,
International Petroleum Corp.,IPCO,2020,0,1,Mid,Energy and Utilities,Canada,2019,0,284.32,792796.7772,3690822.0,835.103,33.171,2.9371940067529545,12981.225379853686
International Petroleum Corp.,IPCO,2021,0,0,Mid,Energy and Utilities,Canada,2019,0,595.0080357,,,,,,
International Petroleum Corp.,IPCO,2022,0,1,Mid,Energy and Utilities,Canada,2019,0,320.7116936,,,,,,
Josemaria Resources Inc.,JOSE,2019,0,0,Mid,Basic Materials,Canada,2019,0,,,,,,,
Josemaria Resources Inc.,JOSE,2020,0,0,Mid,Basic Materials,Canada,2019,0,,,,,,,
Lucara Diamond Corp.,LUC,2019,0,1,Mid,Basic Materials,Canada,2019,1,171.92,498642.0,2166.017,78.85,56369.0,0.45864355514192645,12.598982084690554
Lucara Diamond Corp.,LUC,2020,0,1,Mid,Basic Materials,Canada,2019,1,111.875,440135.0,2450.774,74.135,,0.662659217877095,21.906359776536313
Lundin Gold Inc.,LUG,2019,0,0,Mid,Basic Materials,Canada,2019,0,,,299.149,46.055,3.47634,,
Lundin Gold Inc.,LUG,2020,1,0,Mid,Basic Materials,Canada,2019,0,319.7821429,725742.0,1176.0,48.55,1.141,0.15182211101506757,3.6775036571311936
Lundin Mining Corporation,LUMI,2019,1,0,Mid,Basic Materials,Canada,2019,1,1689.922321,10738795.0,34700.0,787.208,,0.4658249614302834,20.53348817800484
Lundin Mining Corporation,LUMI,2020,0,0,Mid,Basic Materials,Canada,2019,1,1822.767857,11264826.0,38779000.0,885.662,38.649,0.48588853297954554,21274.788147638483
Lundin Mining Corporation,LUMI,2022,0,0,Mid,Basic Materials,Canada,2019,0,,,,,,,
Questerre Energy Corporation,QEC,2020,0,0,Large,Energy and Utilities,Canada,2019,0,19.575,,,,,,
Questerre Energy Corporation,QEC,2022,0,0,Large,Energy and Utilities,Canada,2019,0,49.14398063,,,,,,
Questerre Energy Corporation,QEC,2019,0,0,Large,Energy and Utilities,Canada,2019,0,22.10728227,,,,,,
ABB Ltd,ABB,2019,1,0,Large,Industrial Goods and Services,Switzerland,2019,1,20137.5,9637200.0,8554.0,998.0,6182.0,0.0495592799503414,0.4247796399751707
ABB Ltd,ABB,2020,1,0,Large,Industrial Goods and Services,Switzerland,2019,1,23333.92857,5817600.0,3283.07,561.0,6126.0,0.024042243821782643,0.14069941073793216
ABB Ltd,ABB,2021,1,0,Large,Industrial Goods and Services,Switzerland,2019,1,25843.75,5590800.0,2839.0,405.0,125117.0,0.015671100362756953,0.10985247883917774
